title,author,rating,reviews_count,isbn10,price,company
The Secret of the Nagas,Tripathi Amish,4.6,6674,9381626340,244.0,Flipkart
Oath of the Vayuputras,Amish,4.4,8408,9382618341,282.0,Flipkart
Fantastic Beasts: The Crimes of Grindelwald - The Original Screenplay,Rowling J.K.,4.8,245,1408711702,434.0,Flipkart
The Adventures of Tintin Volume 1,Herge,4.6,19,1405282754,649.0,Flipkart
Harry Potter and the Chamber of Secrets,J. K. Rowling,4.7,3839,1408855666,374.0,Flipkart
Keepers of the Kalachakra,Sanghi Ashwin,4.4,670,9386850648,231.0,Flipkart
Harry Potter and the Prisoner of Azkaban,J. K. Rowling,4.6,3250,1408855674,314.0,Flipkart
Geronimo Stilton,Stilton Geronimo,4.6,690,9351032167,357.0,Flipkart
Norse Mythology,Neil Gaiman,4.7,105,1526602067,319.0,Flipkart
The Secret of the Druids,Doyle Christopher C.,4.3,182,9385724223,209.0,Flipkart
Indian Art and Culture - For Civil Services Preliminary and Main Examinations Second Edition,Nitin Singhania,4.6,5444,9387067548,390.0,Flipkart
Bharatiya Kala Evam Sanskriti,unknown,4.5,1046,9387067718,370.0,Flipkart
Art of War,Sun Tzu,4.3,236,8184950888,210.0,Flipkart
ICSE Art of Effective English Writing Class - 9&10,Meena Singh' and  'O P Singh,4.5,193,9352534751,316.0,Flipkart
Trump - The Art of the Deal,Donald J. Trump' and  ' Tony Schwartz,4.4,63,1784758248,320.0,Flipkart
All you need is Love,Sen Shelja,4.5,34,9351770729,238.0,Flipkart
The Bachelor of Arts,Narayan R. K.,4.3,158,8185986010,117.0,Flipkart
Ready- Study- Go!: Smart Ways to Learn - Smart Ways to Learn,Khurshed Batliwala (Author)' and  ' Dinesh Ghodke (Author),4.4,574,9352641345,178.0,Flipkart
The Art of Living,Thich Nhat Hanh,4.7,26,1846045096,425.0,Flipkart
Gurudev - On the Plateau of the Peak - The Life of Sri Sri Ravi Shankar,Bhanumathi Narasimhan,4.7,60,9386850575,327.0,Flipkart
The Art Of Study,Vijay Agarwal,4.5,64,8190702564,140.0,Flipkart
The Orient Black Swan School Atlas,unknown,4.4,707,8125056866,299.0,Flipkart
World Map,Dreamland Publications,4.4,48,8184511213,130.0,Flipkart
World Atlas,unknown,4.3,35,9357941495,185.0,Flipkart
Longman School Atlas Updated Edition,,4.2,32,9332510210,240.0,Flipkart
India Map,Dreamland Publications,4.3,29,8184511523,104.0,Flipkart
Disha Children's Yearbook 2018 - General Knowledge Fundamentals and Current Affairs - Disha,Disha Experts,4.3,42,9387421007,147.0,Flipkart
Our Earth - A Family Reference Guide,unknown,5.0,3,1472311310,516.0,Flipkart
The Husband's Secret,Moriarty Liane,4.4,44,1405911662,340.0,Flipkart
The Sealed Nectar: Biography of the Noble Prophet,,4.6,96,9960899551,290.0,Flipkart
Numbercaste,Yudhanjaya Wijeratne,4.348216833095578,0,9353023335,218.0,Flipkart
The Power of Your Subconscious Mind,Dr. Joseph Murphy,4.5,4640,8192910962,94.0,Flipkart
The 5 AM Club : Own Your Morning- Elevate Your Life,ROBIN SHARMA,4.6,895,9387944891,210.0,Flipkart
Think and Grow Rich,Hill Napoleon,4.5,2871,8192910911,94.0,Flipkart
General Knowledge 2019,unknown,4.3,8181,9312147307,30.0,Flipkart
General Knowledge - lucent gk book,Binay Karna,4.4,6418,9384761540,180.0,Flipkart
Word Power Made Easy,Lewis Norman,4.4,25786,8183071007,111.0,Flipkart
Quantitative Aptitude for Competitive Examinations 2017 Edition,Aggarwal R. S.,4.4,15290,9352534026,450.0,Flipkart
ALCHEMIST,Paulo Coelho,4.6,16859,8172234988,209.0,Flipkart
Manorama Yearbook 2019 First Edition,Tushar A. Gandhi' and  ' Shashi Tharoor' and  ' Paranjoy Guha Thakurta' and  ' Avik Sarkar,4.6,1126,8193769716,228.0,Flipkart
24 Years UPSC IAS/ IPS Prelims Topic-wise Solved Papers 1 & 2 (1995-2018),unknown,4.5,2348,9388026586,325.0,Flipkart
How To Win Friends & Influence People - The First and Still the Best Book of Its kind on Self-Help,Carnegie Dale,4.5,231,8192910997,130.0,Flipkart
ATTITUDE IS EVERYTHING,Jeff Keller,4.5,5887,9351772071,118.0,Flipkart
Lucent's General Science,unknown,4.2,1903,9384761141,183.0,Flipkart
Wings of Fire,Tiwari Arun,4.6,16362,8173711461,265.0,Flipkart
The Forest of Enchantments,Chitra Banerjee Divakaruni,4.9,15,9353025982,373.0,Flipkart
Don't Lose Your Mind- Lose Your Weight,Diwekar Rujuta,4.3,3440,8184001053,143.0,Flipkart
Life is What You Make it,Shenoy Preeti,4.1,10007,9380349300,86.0,Flipkart
The Theory Of Everything 01 Edition,,4.2,18,8179925919,190.0,Flipkart
Oswaal CBSE Sample Question Paper Class 10 Science (For March 2019 Exam),Panel of Experts,4.6,350,9388036662,133.0,Flipkart
Oswaal CBSE Sample Question Paper Class 10 Mathematics (For March 2019 Exam),Panel of Experts,4.5,410,9388036689,139.0,Flipkart
Cbse Chemistry Chapterwise Solved Papers Class12th,unknown,4.5,1958,9313161419,161.0,Flipkart
Cbse Chapterwise Physics Class 12th,unknown,4.5,2200,9313161427,182.0,Flipkart
1984,George Orwell,4.5,339,8192910903,99.0,Flipkart
Who Will Cry When You Die?,Sharma Robin S.,4.4,5611,8179922324,115.0,Flipkart
The great Gatsby,Fitzgerald F. Scott,4.4,654,8172344562,142.0,Flipkart
Oswaal CBSE Sample Question Paper Class 10 Social Science (For March 2019 Exam),Panel of Experts,4.5,248,9388036670,140.0,Flipkart
Objective NCERT at your FINGERTIPS for NEET-AIIMS - Biology,unknown,4.4,492,9387949222,570.0,Flipkart
CBSE UGC NET/SET/JRF,Madaan K.V.S,4.4,2001,9332551731,249.0,Flipkart
40 Years' Chapterwise Topicwise Solved Papers (2018-1979) Iit Jee Physics,Pandey D. C.,4.5,1603,9313163292,237.0,Flipkart
High School English Grammar & Composition,Wren Martin,4.4,1197,9352530144,293.0,Flipkart
Fast Track Objective Arithmetic,Verma Rajesh,4.4,2808,9312149830,266.0,Flipkart
The Power of Habit,Charles Duhigg,4.4,1682,1847946240,305.0,Flipkart
Emotion & Relationships,Vasudev Sadhguru Jaggi,4.6,1150,9386867508,159.0,Flipkart
Rich Dad Poor Dad,Robert T. Kiyosaki,4.4,5259,8186775218,150.0,Flipkart
Bharat Ki Rajvyavastha,Laxmikanth M.,4.5,3230,9352603869,385.0,Flipkart
40 Years' Chapterwise Topicwise Solved Papers (2018-1979) Iit Jee Mathematics,Agarwal Amit M.,4.5,1636,9313163314,237.0,Flipkart
The Secret,Byrne Rhonda,4.5,6680,1847370292,498.0,Flipkart
40 Years' Chapterwise Topicwise Solved Papers (2018-1979) Iit Jee Chemistry - 40 Years Chapterwise Topicwise Solved Papers IIT JEE CHEMISTRY with 0 Disc,Shahi Ranjeet,4.5,1712,9313163306,247.0,Flipkart
Oswaal CBSE Question Bank for Class 10 Science (Mar 2019 Exam),unknown,4.5,1879,9387504913,247.0,Flipkart
Objective General English,Bakshi S. P.,4.3,10558,9351768449,160.0,Flipkart
10 Last Years Solved Papers - CBSE Class 10 for 2019 Examination,Oswal Publishers,4.3,598,9387660400,390.0,Flipkart
One Indian Girl,Bhagat Chetan,4.2,37246,8129142147,112.0,Flipkart
How To Stop Worrying And Start Living,Carnegie Dale,4.4,93,8175993952,125.0,Flipkart
Current Affairs Yearly 2019,Arihant Experts,4.7,9,9313169886,124.0,Flipkart
